bertscore_precision_hyp_vs_ref, 0.122,bertscore_recall_hyp_vs_ref, -0.115,bertscore_f1_hyp_vs_ref, -0.0,bertscore_precision_hyp_vs_src, 0.12,bertscore_recall_hyp_vs_src, -0.218,bertscore_f1_hyp_vs_src, -0.055,, experiment_path, experiments/x_ablation_study/MaxDepDepth/free_style-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.388,bertscore_recall_hyp_vs_ref, 0.511,bertscore_f1_hyp_vs_ref, 0.448,bertscore_precision_hyp_vs_src, 0.845,bertscore_recall_hyp_vs_src, 0.806,bertscore_f1_hyp_vs_src, 0.825,, experiment_path, experiments/x_ablation_study/MaxDepDepth/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.377,bertscore_recall_hyp_vs_ref, 0.491,bertscore_f1_hyp_vs_ref, 0.433,bertscore_precision_hyp_vs_src, 0.797,bertscore_recall_hyp_vs_src, 0.77,bertscore_f1_hyp_vs_src, 0.783,, experiment_path, experiments/x_ablation_study/MaxDepDepth/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.366,bertscore_recall_hyp_vs_ref, 0.497,bertscore_f1_hyp_vs_ref, 0.43,bertscore_precision_hyp_vs_src, 0.776,bertscore_recall_hyp_vs_src, 0.761,bertscore_f1_hyp_vs_src, 0.768,, experiment_path, experiments/x_ablation_study/MaxDepDepth/level-2_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.379,bertscore_recall_hyp_vs_ref, 0.491,bertscore_f1_hyp_vs_ref, 0.434,bertscore_precision_hyp_vs_src, 0.802,bertscore_recall_hyp_vs_src, 0.752,bertscore_f1_hyp_vs_src, 0.776,, experiment_path, experiments/x_ablation_study/MaxDepDepth/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.462,bertscore_recall_hyp_vs_ref, 0.551,bertscore_f1_hyp_vs_ref, 0.506,bertscore_precision_hyp_vs_src, 0.804,bertscore_recall_hyp_vs_src, 0.728,bertscore_f1_hyp_vs_src, 0.766,, experiment_path, experiments/x_ablation_study/MaxDepDepth/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_5_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.349,bertscore_recall_hyp_vs_ref, 0.486,bertscore_f1_hyp_vs_ref, 0.416,bertscore_precision_hyp_vs_src, 0.731,bertscore_recall_hyp_vs_src, 0.743,bertscore_f1_hyp_vs_src, 0.737,, experiment_path, experiments/x_ablation_study/MaxDepDepth/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.482,bertscore_recall_hyp_vs_ref, 0.582,bertscore_f1_hyp_vs_ref, 0.531,bertscore_precision_hyp_vs_src, 0.867,bertscore_recall_hyp_vs_src, 0.809,bertscore_f1_hyp_vs_src, 0.837,, experiment_path, experiments/x_ablation_study/MaxDepDepth/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_5_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.465,bertscore_recall_hyp_vs_ref, 0.558,bertscore_f1_hyp_vs_ref, 0.51,bertscore_precision_hyp_vs_src, 0.801,bertscore_recall_hyp_vs_src, 0.727,bertscore_f1_hyp_vs_src, 0.763,, experiment_path, experiments/x_ablation_study/MaxDepDepth/level-4_prompt_feedbackloop-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_5_temp_0_chain_True
bertscore_precision_hyp_vs_ref, 0.099,bertscore_recall_hyp_vs_ref, -0.157,bertscore_f1_hyp_vs_ref, -0.032,bertscore_precision_hyp_vs_src, 0.107,bertscore_recall_hyp_vs_src, -0.234,bertscore_f1_hyp_vs_src, -0.069,, experiment_path, experiments/x_ablation_study/MaxDepLength/free_style-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.379,bertscore_recall_hyp_vs_ref, 0.5,bertscore_f1_hyp_vs_ref, 0.438,bertscore_precision_hyp_vs_src, 0.851,bertscore_recall_hyp_vs_src, 0.82,bertscore_f1_hyp_vs_src, 0.835,, experiment_path, experiments/x_ablation_study/MaxDepLength/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
bertscore_precision_hyp_vs_ref, 0.355,bertscore_recall_hyp_vs_ref, 0.502,bertscore_f1_hyp_vs_ref, 0.427,bertscore_precision_hyp_vs_src, 0.758,bertscore_recall_hyp_vs_src, 0.783,bertscore_f1_hyp_vs_src, 0.771,, experiment_path, experiments/x_ablation_study/MaxDepLength/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_gpt-4o-2024-05-13_examples_0_temp_0_chain_False
